file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,0d8aca69,TimothyMao,2025-01-08,14:10:18,-08:00,2025-01-08T14:10:18-08:00,0,5
style.css,2,css,0d8aca69,TimothyMao,2025-01-08,14:10:18,-08:00,2025-01-08T14:10:18-08:00,0,44
style.css,3,css,0d8aca69,TimothyMao,2025-01-08,14:10:18,-08:00,2025-01-08T14:10:18-08:00,0,43
style.css,4,css,0d8aca69,TimothyMao,2025-01-08,14:10:18,-08:00,2025-01-08T14:10:18-08:00,0,1
style.css,5,css,0d8aca69,TimothyMao,2025-01-08,14:10:18,-08:00,2025-01-08T14:10:18-08:00,0,24
style.css,6,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,16
style.css,7,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,19
style.css,8,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,15
style.css,9,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,0
style.css,10,css,6f78fbe3,TimothyMao,2025-01-22,16:50:29,-08:00,2025-01-22T16:50:29-08:00,0,0
style.css,11,css,6f78fbe3,TimothyMao,2025-01-22,16:50:29,-08:00,2025-01-22T16:50:29-08:00,0,32
style.css,12,css,6f78fbe3,TimothyMao,2025-01-22,16:50:29,-08:00,2025-01-22T16:50:29-08:00,0,20
style.css,13,css,6f78fbe3,TimothyMao,2025-01-22,16:50:29,-08:00,2025-01-22T16:50:29-08:00,0,14
style.css,14,css,6f78fbe3,TimothyMao,2025-01-22,16:50:29,-08:00,2025-01-22T16:50:29-08:00,0,0
style.css,15,css,f6e12706,TimothyMao,2025-01-22,16:43:21,-08:00,2025-01-22T16:43:21-08:00,0,0
style.css,16,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,4
style.css,17,css,c313e45a,TimothyMao,2025-01-22,16:02:39,-08:00,2025-01-22T16:02:39-08:00,0,40
style.css,18,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,13
style.css,19,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,0
style.css,20,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,0
style.css,21,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,6
style.css,22,css,c313e45a,TimothyMao,2025-01-22,16:02:39,-08:00,2025-01-22T16:02:39-08:00,0,40
style.css,23,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,7
style.css,24,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,21
style.css,25,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,14
style.css,26,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,18
style.css,27,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,14
style.css,28,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,18
style.css,29,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,24
style.css,30,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,26
style.css,31,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,0
style.css,32,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,0
style.css,33,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,13
style.css,34,css,c313e45a,TimothyMao,2025-01-22,16:02:39,-08:00,2025-01-22T16:02:39-08:00,0,40
style.css,35,css,4168e523,TimothyMao,2025-01-13,18:24:56,-08:00,2025-01-13T18:24:56-08:00,0,26
